drug	disease.x	proximity.x	pval.x	similarity.x	adjusted_similarity.x	disease.y	proximity.y	pval.y	similarity.y	adjusted_similarity.y
sucralfate	Alzheimer Disease	0.2	4.75e-08	0.95	0.870142204938429	Alzheimer Disease	0.2	4.75e-08	0.95	0.870142204938429
sulfamethoxazole	Alzheimer Disease	0	0.030499728	1	0.999498689431439	Alzheimer Disease	0	0.030499728	1	0.999498689431439
sulfasalazine	Alzheimer Disease	0.4	4.47e-05	0.9	0.997713004352496	Alzheimer Disease	0.4	4.47e-05	0.9	0.997713004352496
sulindac	Alzheimer Disease	0.428571429	0.000541687	0.89285714275	0.997451470293365	Alzheimer Disease	0.428571429	0.000541687	0.89285714275	0.997451470293365
sulodexide	Alzheimer Disease	0.5	0.041699434	0.875	0.996659662454039	Alzheimer Disease	0.5	0.041699434	0.875	0.996659662454039
sulpiride	Alzheimer Disease	0.5	0.005170212	0.875	0.759915570510543	Alzheimer Disease	0.5	0.005170212	0.875	0.759915570510543
sulpiride	Alzheimer Disease	0.5	0.005170212	0.875	0.759915570510543	Memory Disorders	1	0.000452777	0.75	0.945098078077383
sulpiride	Alzheimer Disease	0.5	0.005170212	0.875	0.759915570510543	Language Disorders	1.5	0.037057389	0.625	0.206233008902532
sunitinib	Alzheimer Disease	0.625	0.046816927	0.84375	0.698405543162004	Language Disorders	1	0.000309119	0.75	0.939653140975545
sunitinib	Alzheimer Disease	0.625	0.046816927	0.84375	0.698405543162004	Alzheimer Disease	0.625	0.046816927	0.84375	0.698405543162004
suprofen	Alzheimer Disease	0	0.005476351	1	0.999498689431439	Alzheimer Disease	0	0.005476351	1	0.999498689431439
susoctocog alfa	Alzheimer Disease	0	0.005120837	1	0.999498689431439	Alzheimer Disease	0	0.005120837	1	0.999498689431439
suvorexant	Alzheimer Disease	0	0.000394802	1	0.999498689431439	Alzheimer Disease	0	0.000394802	1	0.999498689431439
tacrine	Alzheimer Disease	0.666666667	0.03159405	0.83333333325	0.993726881956618	Alzheimer Disease	0.666666667	0.03159405	0.83333333325	0.993726881956618
tafamidis	Alzheimer Disease	0	7.22e-06	1	0.916996180685167	Amyloid Neuropathies	0	2.53e-10	1	0.996415052507829
tafamidis	Alzheimer Disease	0	7.22e-06	1	0.916996180685167	Alzheimer Disease	0	7.22e-06	1	0.916996180685167
tafluprost	Alzheimer Disease	0	0.024273764	1	0.999498689431439	Alzheimer Disease	0	0.024273764	1	0.999498689431439
tamoxifen	Alzheimer Disease	0.588235294	0.047293096	0.8529411765	0.995335694737563	Alzheimer Disease	0.588235294	0.047293096	0.8529411765	0.995335694737563
tapentadol	Alzheimer Disease	0.666666667	0.033248253	0.83333333325	0.676022002084612	Amyloid Neuropathies	1.666666667	0.001402161	0.58333333325	0.529196411593648
tapentadol	Alzheimer Disease	0.666666667	0.033248253	0.83333333325	0.676022002084612	Language Disorders	1.5	0.014530899	0.625	0.206233008902532
tapentadol	Alzheimer Disease	0.666666667	0.033248253	0.83333333325	0.676022002084612	Memory Disorders	1.5	0.03490735	0.625	0.206233008902532
tapentadol	Alzheimer Disease	0.666666667	0.033248253	0.83333333325	0.676022002084612	Alzheimer Disease	0.666666667	0.033248253	0.83333333325	0.676022002084612
taurocholic acid	Alzheimer Disease	0.5	0.041533929	0.875	0.996659662454039	Alzheimer Disease	0.5	0.041533929	0.875	0.996659662454039
tazarotene	Alzheimer Disease	0	7.55e-07	1	0.916996180685167	Memory Disorders	1	0.030450194	0.75	0.945098078077383
tazarotene	Alzheimer Disease	0	7.55e-07	1	0.916996180685167	Alzheimer Disease	0	7.55e-07	1	0.916996180685167
technetium tc-99m tilmanocept	Alzheimer Disease	0	0.016589996	1	0.999498689431439	Alzheimer Disease	0	0.016589996	1	0.999498689431439
tegafur	Alzheimer Disease	0	0.006830513	1	0.999498689431439	Alzheimer Disease	0	0.006830513	1	0.999498689431439
tegaserod	Alzheimer Disease	0.5	0.006813464	0.875	0.759915570510543	Memory Disorders	0.75	2.91e-11	0.8125	0.976247630772842
tegaserod	Alzheimer Disease	0.5	0.006813464	0.875	0.759915570510543	Language Disorders	1.5	0.002243054	0.625	0.206233008902532
tegaserod	Alzheimer Disease	0.5	0.006813464	0.875	0.759915570510543	Alzheimer Disease	0.5	0.006813464	0.875	0.759915570510543
telmisartan	Alzheimer Disease	0	0.000249074	1	0.916996180685167	Alzheimer Disease	0	0.000249074	1	0.916996180685167
telmisartan	Alzheimer Disease	0	0.000249074	1	0.916996180685167	Memory Disorders	0	7.45e-05	1	0.998215649602825
telotristat ethyl	Alzheimer Disease	0	0.000276032	1	0.916996180685167	Alzheimer Disease	0	0.000276032	1	0.916996180685167
telotristat ethyl	Alzheimer Disease	0	0.000276032	1	0.916996180685167	Memory Disorders	1	0.000622934	0.75	0.945098078077383
temsirolimus	Alzheimer Disease	0	0.01684862	1	0.999498689431439	Alzheimer Disease	0	0.01684862	1	0.999498689431439
tenecteplase	Alzheimer Disease	0.545454545	0.00098224	0.86363636375	0.738575985415231	Amyloid Neuropathies	1.727272727	0.000373392	0.56818181825	0.479146301042743
tenecteplase	Alzheimer Disease	0.545454545	0.00098224	0.86363636375	0.738575985415231	Memory Disorders	0.909090909	5.19e-05	0.77272727275	0.532327195116185
tenecteplase	Alzheimer Disease	0.545454545	0.00098224	0.86363636375	0.738575985415231	Alzheimer Disease	0.545454545	0.00098224	0.86363636375	0.738575985415231
tenoxicam	Alzheimer Disease	0	0.001349898	1	0.999498689431439	Alzheimer Disease	0	0.001349898	1	0.999498689431439
terazosin	Alzheimer Disease	0.8	0.037878421	0.8	0.599220125721511	Alzheimer Disease	0.8	0.037878421	0.8	0.599220125721511
terazosin	Alzheimer Disease	0.8	0.037878421	0.8	0.599220125721511	Memory Disorders	1.2	0.000359126	0.7	0.895622553226265
terbutaline	Alzheimer Disease	0	0.000408748	1	0.916996180685167	Language Disorders	1.333333333	0.045573297	0.66666666675	0.282698225791934
terbutaline	Alzheimer Disease	0	0.000408748	1	0.916996180685167	Amyloid Neuropathies	1.666666667	0.014834136	0.58333333325	0.529196411593648
terbutaline	Alzheimer Disease	0	0.000408748	1	0.916996180685167	Memory Disorders	0.333333333	4.79e-07	0.91666666675	0.827624363017613
terbutaline	Alzheimer Disease	0	0.000408748	1	0.916996180685167	Alzheimer Disease	0	0.000408748	1	0.916996180685167
