disease	drug	proximity	pval	similarity	adjusted_similarity
Alzheimer Disease	dobutamine	0.333333333	0.004318501	0.91666666675	0.827624363017613
Alzheimer Disease	docetaxel	0.5	0.01483018	0.875	0.759915570510543
Alzheimer Disease	doconexent	0	2.82e-10	1	0.916996180685167
Alzheimer Disease	domperidone	0	0.00028507	1	0.916996180685167
Alzheimer Disease	donepezil	0.333333333	7.38e-09	0.91666666675	0.827624363017613
Alzheimer Disease	dopamine	0.4	2.74e-06	0.9	0.802535407328769
Alzheimer Disease	dorzolamide	0.75	0.017958535	0.8125	0.628833714233804
Alzheimer Disease	dosulepin	0.625	3.2e-06	0.84375	0.698405543162004
Alzheimer Disease	doxacurium	0.5	0.014169729	0.875	0.996659662454039
Alzheimer Disease	doxapram	0.5	0.029237931	0.875	0.996659662454039
Alzheimer Disease	doxazosin	0.8	0.030494095	0.8	0.599220125721511
Alzheimer Disease	doxepin	0.789473684	0.000878876	0.802631579	0.605523182537791
Alzheimer Disease	doxercalciferol	0	0.046615177	1	0.999498689431439
Alzheimer Disease	doxorubicin	0.5	0.013955718	0.875	0.996659662454039
Alzheimer Disease	doxylamine	0.666666667	0.029917764	0.83333333325	0.676022002084612
Alzheimer Disease	dronedarone	0.64	6.19e-06	0.84	0.69044845168056
Alzheimer Disease	droperidol	0	0.000791418	1	0.916996180685167
Alzheimer Disease	drospirenone	0.5	0.02491327	0.875	0.996659662454039
Alzheimer Disease	drotrecogin alfa	0.583333333	0.000648601	0.85416666675	0.719883408623604
Alzheimer Disease	droxidopa	0.4	2.62e-06	0.9	0.802535407328769
Alzheimer Disease	duloxetine	0.333333333	0.007383403	0.91666666675	0.827624363017613
Alzheimer Disease	dupilumab	0	0.011195598	1	0.916996180685167
Alzheimer Disease	echothiophate	0	0.005768635	1	0.999498689431439
Alzheimer Disease	econazole	0	0.013955718	1	0.999498689431439
Alzheimer Disease	edoxaban	0	0.000697973	1	0.999498689431439
Alzheimer Disease	edrophonium	0	6.94e-05	1	0.999498689431439
Alzheimer Disease	efmoroctocog alfa	0	0.000611774	1	0.999498689431439
Alzheimer Disease	emapalumab	0	0.025889998	1	0.916996180685167
Alzheimer Disease	enalapril	0	0.027471422	1	0.916996180685167
Alzheimer Disease	enalaprilat	0.5	0.048366326	0.875	0.759915570510543
Alzheimer Disease	enoxaparin	0	0.000561913	1	0.999498689431439
Alzheimer Disease	entacapone	0	0.001418066	1	0.916996180685167
Alzheimer Disease	ephedrine	0.5	0.018911456	0.875	0.996659662454039
Alzheimer Disease	epicriptine	0	4.09e-06	1	0.916996180685167
Alzheimer Disease	epinastine	0.5	0.000616415	0.875	0.759915570510543
Alzheimer Disease	epinephrine	0.25	3.63e-07	0.9375	0.855352842489066
Alzheimer Disease	eplerenone	0	7.22e-06	1	0.999498689431439
Alzheimer Disease	epoprostenol	0	2.49e-05	1	0.999498689431439
Alzheimer Disease	eprosartan	0	0.02681328	1	0.916996180685167
Alzheimer Disease	erdafitinib	0.333333333	1.72e-06	0.91666666675	0.998223773135608
Alzheimer Disease	ergocalciferol	0.954545455	0.004513367	0.76136363625	0.981504670826547
Alzheimer Disease	ergoloid mesylate	0.655172414	1.56e-07	0.8362068965	0.682283470682554
Alzheimer Disease	ergometrine	0	0.006020789	1	0.916996180685167
Alzheimer Disease	ergotamine	0.5625	1.55e-05	0.859375	0.730264842070635
Alzheimer Disease	erlotinib	0.5	0.011309699	0.875	0.996659662454039
Alzheimer Disease	escitalopram	0.4	6.41e-09	0.9	0.802535407328769
Alzheimer Disease	esketamine	0.5	0.000308872	0.875	0.759915570510543
Alzheimer Disease	esmolol	0	0.001418066	1	0.916996180685167
Alzheimer Disease	estradiol	0.285714286	0.001428131	0.9285714285	0.998517268863432
Alzheimer Disease	estradiol acetate	0.285714286	0.002237722	0.9285714285	0.998517268863432
Alzheimer Disease	estradiol benzoate	0.285714286	0.006741133	0.9285714285	0.998517268863432
Alzheimer Disease	estradiol cypionate	0.285714286	0.010535267	0.9285714285	0.998517268863432
Alzheimer Disease	estradiol dienanthate	0.285714286	0.006734465	0.9285714285	0.998517268863432
Alzheimer Disease	estradiol valerate	0.285714286	0.000644678	0.9285714285	0.998517268863432
Alzheimer Disease	estrone	0.2	0.02104129	0.95	0.870142204938429
Alzheimer Disease	etanercept	0.769230769	0.036389811	0.80769230775	0.61754472156451
Alzheimer Disease	etelcalcetide	0	0.018743134	1	0.916996180685167
Alzheimer Disease	ethanol	1.045454545	0.004396124	0.73863636375	0.44734108149539
Alzheimer Disease	ethinamate	0.5	0.027315115	0.875	0.759915570510543
Alzheimer Disease	etodolac	0	0.000104466	1	0.999498689431439
Alzheimer Disease	etoricoxib	0	0.003525365	1	0.999498689431439
Alzheimer Disease	everolimus	0	0.006830513	1	0.999498689431439
Alzheimer Disease	exemestane	0	0.006500999	1	0.916996180685167
