TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Female sexual arousal dysfunction 	flibanserin	0.333333333	0.002869014	0.91666666675	0.827624363017613
Mood disorder 	flibanserin	0.333333333	0.002869014	0.91666666675	0.827624363017613
Solid tumour/cancer 	floxuridine	0	0.001418066	1	0.999498689431439
Colorectal cancer 	floxuridine	0	0.001418066	1	0.999498689431439
Endocarditis 	flucytosine	0	0.023296852	1	0.999498689431439
Cerebral salt-wasting syndrome 	fludrocortisone	0.5	0.001385596	0.875	0.996659662454039
Dysmenorrhea 	flufenamic acid	0.333333333	0.000432116	0.91666666675	0.998223773135608
Insomnia 	flunitrazepam	1.111111111	0.045922535	0.72222222225	0.407197952041138
Solid tumour/cancer 	fluorouracil	0	0.005026772	1	0.999498689431439
Tumour 	fluorouracil	0	0.005026772	1	0.999498689431439
Depression 	fluoxetine	0.571428571	0.000580485	0.85714285725	0.995622925786853
Psychotic disorder 	fluphenazine	0.166666667	9.07e-06	0.95833333325	0.879271554806123
Rheumatoid arthritis 	flurbiprofen	0	0.003848635	1	0.999498689431439
Schizophrenia 	fluspirilene	0.666666667	0.017871322	0.83333333325	0.676022002084612
Prostate cancer 	flutamide	0	0.000319968	1	0.999498689431439
Allergic rhinitis 	fluticasone	0.5	0.003668153	0.875	0.996659662454039
Hypercholesterolaemia 	fluvastatin	0.5	0.008429464	0.875	0.996659662454039
Depression 	fluvoxamine	0.5	0.019968885	0.875	0.759915570510543
Vitamin deficiency 	folic acid	0.5	0.007994863	0.875	0.996659662454039
Asthma 	formoterol	0	0.000120148	1	0.916996180685167
Hypertension 	fosinopril	0	0.02169323	1	0.916996180685167
Rheumatoid arthritis 	fostamatinib	0.864864865	0.001409179	0.78378378375	0.559727085352154
Immune thrombocytopenic purpura 	fostamatinib	0.864864865	0.001409179	0.78378378375	0.559727085352154
Alzheimer disease 	galantamine	1	0.010631454	0.75	0.97809499521373
Stabilize muscle contraction 	gallamine triethiodide	0.6	0.005753171	0.85	0.995123544742407
Hypercalcaemia 	gallium nitrate	0.5	0.018792222	0.875	0.996659662454039
Hyperlipidaemia 	gemfibrozil	0.5	0.007167738	0.875	0.996659662454039
Bacterial infection 	gentamicin	0.5	0.036491273	0.875	0.759915570510543
Acute myeloid leukaemia 	gilteritinib	1.055555556	0.046296866	0.736111111	0.973086425632035
Diabetic complication 	gliclazide	0	0.000354692	1	0.999498689431439
Diabetic complication 	glimepiride	0.333333333	0.002209523	0.91666666675	0.998223773135608
Diabetic complication 	glipizide	0	0.004721264	1	0.916996180685167
Diabetic complication 	gliquidone	0.5	0.024936826	0.875	0.996659662454039
Osteoarthritis 	glucosamine	0	9.81e-05	1	0.916996180685167
Human immunodeficiency virus infection 	glutathione	0.447368421	5.45e-21	0.88815789475	0.997263346779681
Breast cancer 	goserelin	0.5	0.029491062	0.875	0.996659662454039
High blood pressure 	guanabenz	0	0.00194825	1	0.916996180685167
Schizophrenia 	haloperidol	0.388888889	3.55e-08	0.90277777775	0.806900452905362
Anaesthesia 	halothane	1	0.010914477	0.75	0.475573630947114
Bacterial infection 	hexachlorophene	0.333333333	0.025562266	0.91666666675	0.998223773135608
Peptic ulcer 	homatropine methylbromide	0.8	0.02801105	0.8	0.989632625584422
Uveitis 	homatropine methylbromide	0.8	0.02801105	0.8	0.989632625584422
Bleeding disorder 	human thrombin	0.375	3.4e-05	0.90625	0.99791977939539
Alzheimer disease 	huperzine a	0	0.018990157	1	0.999498689431439
Pain 	hydrocodone	0.333333333	0.005828413	0.91666666675	0.827624363017613
Inflammation 	hydrocortisone	0.5	0.005026772	0.875	0.996659662454039
Congestive heart failure 	hydroflumethiazide	0.625	0.013429977	0.84375	0.698405543162004
Vitamin B12 deficiency 	hydroxocobalamin	0.333333333	3.93e-07	0.91666666675	0.998223773135608
Lung injury 	hydroxocobalamin	0.333333333	3.93e-07	0.91666666675	0.998223773135608
Gastrointestinal disease 	hyoscyamine	0.5	0.007170166	0.875	0.996659662454039
Human immunodeficiency virus-1 infection 	ibalizumab	0.333333333	0.002897268	0.91666666675	0.998223773135608
Osteoporosis 	ibandronate	0	0.004752629	1	0.999498689431439
Pain 	ibuprofen	0.5	0.000159969	0.875	0.996659662454039
Atrial fibrillation 	ibutilide	0.875	0.029650431	0.78125	0.986261956524198
