disease	GeneID
Abnormalities	23767
Abnormalities	23771
Abnormalities	23788
Abnormalities	238
Abnormalities	2395
Abnormalities	23967
Abnormalities	24
Abnormalities	242
Abnormalities	246
Abnormalities	246778
Abnormalities	2477
Abnormalities	2481
Abnormalities	2487
Abnormalities	2488
Abnormalities	249
Abnormalities	2492
Abnormalities	25
Abnormalities	2516
Abnormalities	2521
Abnormalities	2524
Abnormalities	2532
Abnormalities	253260
Abnormalities	2534
Abnormalities	2535
Abnormalities	253827
Abnormalities	2539
Abnormalities	25453
Abnormalities	2548
Abnormalities	254956
Abnormalities	255
Abnormalities	2554
Abnormalities	255738
Abnormalities	255743
Abnormalities	2559
Abnormalities	255926
Abnormalities	255967
Abnormalities	2560
Abnormalities	2562
Abnormalities	256297
Abnormalities	256380
Abnormalities	257
Abnormalities	2571
Abnormalities	257169
Abnormalities	2572
Abnormalities	257202
Abnormalities	25797
Abnormalities	258
Abnormalities	25805
Abnormalities	25806
Abnormalities	25825
Abnormalities	25828
Abnormalities	25836
Abnormalities	25861
Abnormalities	25902
Abnormalities	2592
Abnormalities	25925
Abnormalities	259266
Abnormalities	2593
Abnormalities	25943
Abnormalities	25945
Abnormalities	25970
Abnormalities	25981
Abnormalities	26011
Abnormalities	26012
Abnormalities	26020
Abnormalities	26040
Abnormalities	26045
Abnormalities	26047
Abnormalities	26050
Abnormalities	26090
Abnormalities	26118
Abnormalities	26121
Abnormalities	26160
Abnormalities	2617
Abnormalities	261734
Abnormalities	2618
Abnormalities	26191
Abnormalities	262
Abnormalities	26207
Abnormalities	2623
Abnormalities	2624
Abnormalities	2625
Abnormalities	2626
Abnormalities	2627
Abnormalities	26275
Abnormalities	26277
Abnormalities	2629
Abnormalities	2632
Abnormalities	2637
Abnormalities	2639
Abnormalities	2643
Abnormalities	2645
Abnormalities	2646
Abnormalities	26468
Abnormalities	2649
Abnormalities	265
Abnormalities	26525
Abnormalities	2653
Abnormalities	2657
Abnormalities	2658
Abnormalities	26580
Abnormalities	26585
Abnormalities	2664
Abnormalities	266553
Abnormalities	266727
Abnormalities	2668
Abnormalities	2670
Abnormalities	267012
Abnormalities	2674
Abnormalities	2675
Abnormalities	2676
Abnormalities	2677
Abnormalities	2678
Abnormalities	26785
Abnormalities	268
Abnormalities	26821
Abnormalities	2688
Abnormalities	269
Abnormalities	2690
Abnormalities	2693
Abnormalities	2696
Abnormalities	2697
Abnormalities	26993
Abnormalities	270
Abnormalities	27019
Abnormalities	2702
Abnormalities	27031
Abnormalities	27040
Abnormalities	27042
Abnormalities	27044
Abnormalities	2705
Abnormalities	2706
Abnormalities	27063
Abnormalities	2707
Abnormalities	27077
Abnormalities	27086
Abnormalities	27121
Abnormalities	27122
Abnormalities	27129
Abnormalities	27130
Abnormalities	27158
Abnormalities	27164
Abnormalities	2717
Abnormalities	27173
Abnormalities	27185
Abnormalities	2719
Abnormalities	27202
Abnormalities	27232
Abnormalities	27241
Abnormalities	2729
Abnormalities	27302
Abnormalities	2731
Abnormalities	2735
Abnormalities	2736
Abnormalities	2737
Abnormalities	274
Abnormalities	27430
Abnormalities	2744
Abnormalities	2747
Abnormalities	275
Abnormalities	2767
Abnormalities	2771
Abnormalities	2776
Abnormalities	2778
Abnormalities	2784
Abnormalities	2796
Abnormalities	2798
Abnormalities	28
Abnormalities	2800
Abnormalities	2811
Abnormalities	2817
Abnormalities	2820
Abnormalities	2824
Abnormalities	282617
Abnormalities	283078
Abnormalities	283238
Abnormalities	2833
Abnormalities	283652
Abnormalities	283694
Abnormalities	284131
Abnormalities	284403
Abnormalities	28514
Abnormalities	285613
Abnormalities	2859
Abnormalities	286077
Abnormalities	28608
Abnormalities	28620
Abnormalities	286204
Abnormalities	2864
Abnormalities	2868
Abnormalities	286826
Abnormalities	287
Abnormalities	2876
Abnormalities	288
Abnormalities	2887
Abnormalities	2888
Abnormalities	2889
Abnormalities	2895
Abnormalities	2896
Abnormalities	28962
Abnormalities	2898
Abnormalities	2899
Abnormalities	290
Abnormalities	2900
Abnormalities	2902
Abnormalities	2904
Abnormalities	29072
Abnormalities	2908
Abnormalities	2909
Abnormalities	29098
Abnormalities	291
Abnormalities	29102
Abnormalities	29110
Abnormalities	29119
Abnormalities	2912
Abnormalities	29123
Abnormalities	2913
Abnormalities	2918
Abnormalities	2931
Abnormalities	2932
Abnormalities	2938
Abnormalities	2940
Abnormalities	2941
Abnormalities	2944
Abnormalities	2947
Abnormalities	2950
Abnormalities	2952
Abnormalities	2956
Abnormalities	2969
Abnormalities	29801
Abnormalities	29850
Abnormalities	29899
Abnormalities	29947
Abnormalities	29950
Abnormalities	29954
Abnormalities	29958
Abnormalities	2998
Abnormalities	29985
Abnormalities	30009
Abnormalities	30062
Abnormalities	302
Abnormalities	3020
Abnormalities	3037
Abnormalities	3039
Abnormalities	3040
Abnormalities	3043
Abnormalities	3060
Abnormalities	3061
Abnormalities	3062
Abnormalities	3064
Abnormalities	3075
Abnormalities	3077
Abnormalities	3078
Abnormalities	308
Abnormalities	3084
Abnormalities	3087
Abnormalities	3090
Abnormalities	3091
Abnormalities	3094
Abnormalities	3098
Abnormalities	3105
Abnormalities	3106
Abnormalities	3107
Abnormalities	3110
Abnormalities	3113
Abnormalities	3115
Abnormalities	3117
Abnormalities	3119
Abnormalities	3123
Abnormalities	3125
Abnormalities	3126
Abnormalities	3127
Abnormalities	3135
Abnormalities	3145
Abnormalities	3148
Abnormalities	3156
Abnormalities	3162
Abnormalities	3176
Abnormalities	319100
Abnormalities	3192
Abnormalities	3197
Abnormalities	3198
Abnormalities	3199
Abnormalities	32
Abnormalities	3201
Abnormalities	3204
Abnormalities	3205
Abnormalities	3206
Abnormalities	3207
Abnormalities	3209
Abnormalities	3210
Abnormalities	3212
Abnormalities	3216
Abnormalities	3217
Abnormalities	3219
Abnormalities	3221
Abnormalities	3222
Abnormalities	3225
Abnormalities	3235
Abnormalities	3237
Abnormalities	3239
Abnormalities	324
Abnormalities	3240
Abnormalities	3241
Abnormalities	3248
Abnormalities	3257
Abnormalities	3265
Abnormalities	32690
Abnormalities	3275
Abnormalities	3276
Abnormalities	328
Abnormalities	3280
Abnormalities	3283
Abnormalities	3284
Abnormalities	329
Abnormalities	3290
Abnormalities	3291
Abnormalities	3292
Abnormalities	3293
Abnormalities	3295
Abnormalities	3298
Abnormalities	330
Abnormalities	3300
Abnormalities	3304
Abnormalities	3312
Abnormalities	3315
Abnormalities	3320
Abnormalities	3329
Abnormalities	3339
Abnormalities	3342
Abnormalities	335
Abnormalities	3350
Abnormalities	3351
Abnormalities	3352
Abnormalities	3354
Abnormalities	3356
Abnormalities	3357
Abnormalities	3358
Abnormalities	3359
Abnormalities	3360
Abnormalities	3361
Abnormalities	3362
Abnormalities	3363
Abnormalities	337
Abnormalities	3371
Abnormalities	3373
Abnormalities	3375
Abnormalities	338
Abnormalities	3383
Abnormalities	3386
Abnormalities	3388
Abnormalities	338917
Abnormalities	3394
Abnormalities	3398
Abnormalities	339829
Abnormalities	34
Abnormalities	340061
Abnormalities	340073
Abnormalities	340665
Abnormalities	3416
Abnormalities	341640
Abnormalities	3417
Abnormalities	3418
Abnormalities	3425
Abnormalities	3426
Abnormalities	343930
Abnormalities	344
Abnormalities	344387
Abnormalities	344875
Abnormalities	345
Abnormalities	3458
Abnormalities	345895
Abnormalities	3459
Abnormalities	3460
Abnormalities	347733
Abnormalities	347853
Abnormalities	3479
Abnormalities	348
Abnormalities	3480
Abnormalities	3481
Abnormalities	3483
Abnormalities	3486
Abnormalities	3491
Abnormalities	3492
Abnormalities	3508
Abnormalities	3509
Abnormalities	351
Abnormalities	353187
Abnormalities	3549
Abnormalities	355
Abnormalities	3552
Abnormalities	3553
Abnormalities	3554
Abnormalities	3556
Abnormalities	3557
Abnormalities	3558
Abnormalities	3559
Abnormalities	3562
Abnormalities	3563
